hour,mean,median,p25,p75,n
0,26.15020120724346,24.15,10.825000000000001,36.6,994
1,26.678331637843335,24.6,12.3,37.1,983
2,28.933739837398374,26.25,14.775,40.425,984
3,31.86554192229039,30.5,16.225,42.275,978
4,36.94250513347023,34.5,20.625,45.875,974
5,44.594347379239466,39.7,27.2,53.6,973
6,47.91840490797546,43.9,31.75,58.05,978
7,39.051274209989806,37.4,27.4,48.9,981
8,30.70495449949444,30.7,21.3,39.3,989
9,28.17368951612903,27.5,18.575000000000003,35.9,992
10,25.522054380664652,24.8,14.4,34.9,993
11,22.42146439317954,20.1,10.3,31.6,997
12,19.62447342026078,17.3,8.4,28.1,997
13,17.882364729458917,15.4,7.325,25.8,998
14,17.339396984924623,15.2,7.1,24.3,995
15,17.813353413654617,15.2,7.875,25.225,996
16,18.42730923694779,16.15,7.675,26.4,996
17,21.65753012048193,19.9,10.475,29.625,996
18,24.919839679358716,23.3,12.225,32.975,998
19,23.842599999999997,21.5,11.1,33.0,1000
20,23.728003972194635,21.0,9.8,33.1,1007
21,23.944333996023857,20.6,10.1,33.675000000000004,1006
22,24.592842942345925,21.85,10.725,34.6,1006
23,25.561293532338308,23.2,11.1,35.8,1005
